Date,Chip,Size,Chips Sold,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/10,Lightly Salted ,6oz,1226,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/10,Lightly Salted ,6oz,1225,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/10,Lightly Salted ,6oz,1704,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/10,Lightly Salted ,6oz,1266,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/10,Lightly Salted ,6oz,1440,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/10,Lightly Salted ,6oz,1233,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/10,Lightly Salted ,6oz,1795,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/10,Lightly Salted ,6oz,940,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/10,Lightly Salted ,6oz,2022,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,Lightly Salted ,6oz,1012,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,Lightly Salted ,6oz,1381,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/06,Barbeque,2oz,907,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/06,Barbeque,2oz,1455,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/06,Barbeque,2oz,1324,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/06,Barbeque,2oz,994,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/06,Barbeque,2oz,1313,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/06,Barbeque,2oz,939,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/06,Barbeque,2oz,1157,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/06,Barbeque,2oz,1015,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/06,Barbeque,2oz,1030,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/07,Barbeque,2oz,731,,,,,,,,,,,,,,,,,,,,,,,,,
